qrID,quoteText,responseText,topic,quote_stance,response_stance,text_disagree_agree,stance_disagree_agree
4@2,"do you mean sexually molesting children \? again , i think that harms and forces something on someone","what if a 13 year old girl comes up to you and asks for sex , and you agree \? are you forcing yourself on to her \?",existence of God,0,1,0,0
4@3,"and the king of babylon smote them and put them to death at riblah , in the land of hamath thus judah was exiled from its land rather , a sceptre refers exclusively to rulership , not political independence , as seen in the following passage","you did n't bother to read the link , i see , which said during the 70 year babylonian captivity , from 606 537 b c , the southern kingdom of israel , judah , had lost it 's national sovereignty , but retained it 's tribal staff or national identity 2 it is very significant that in the book of ezra we read that during the 70 year babylonian captivity the jews still retained their own lawgivers or judges 3 the jews maintained their identity and judicial authority over their own people even during 70 years of slavery the scepter had not been lost during the babylonian captivity",existence of God,0,1,0,0
4@4,coal can form quickly when forests and marine creatures are buried rapidly there are extensive depositives of coal throughout the whole world which indicate a global flood with catastrophic conditions,reference please,evolution,1,1,0,1
4@5,"where is the evidence for an american style culture of fear in india \? an op ed from a detroit based member of a rightwing thinktank shouting that they need guns , just does n't cut it",so are you saying that the people of india are n't upset about what happened and how the police chose to hide instead of engage the enemy and thus let hundreds of people be violently murdered \? are you saying that the people of india are n't seeking changes so they can arm themselves accordingly so if something like this happens again they 'll be better prepared to handle it \?,gun control,1,0,0,0
5@0,i know of no one that is pro life believes the mother should die so the baby can live,apparently you thought i was claiming that pro lifers thought that the baby 's life was more valuable than the mother 's life so i clarified,abortion,0,1,0,0
5@3,just wanted some peoples opinions,"i think it 's true why would someone make that up and pass it off as a real event \? i think the continents probably started separating some time after that , which is how god separated the people",evolution,0,0,1,1
5@4,"they believe that mechanistic evolution is just too improbable ah do they now you see , berkinski et al seem to have a limited comprehension as to what causes life to change in space and time where they see improbability i see inevitability life , in whatever form we care to discuss , is vying to survive against a whole battery of challenges some of those challenges confront it on a short term basis the need for food , suitable environmental conditions in which to survive and so on others may be an issue over a longer period of time the need to find a mate and reproduce , can it survive annual changes in local climates ultimately , life has to be able to adapt to the longest term changes like a major shift in underlying climatic conditions or local topography and so on we can consider a whole host of changes that confronts life at various times over different timescales what is clear from such consideration is the never ending need for life to able to adapt the earth is a dynamic and forever changing place \( even the very ground beneath you now is transient in nature \) and environments have changed dramatically over the course of this planets history if life were still and static it would never have come to be in the first place if it can not adapt to a new challenges quickly enough well just think of all the examples we have of life that is extinct so i really cannot see why berkinski and his peers find natural evolution , or whatever you care to call it improbable the driving forces are there to see if you are inclined to learn about them what i really find improbable is the notion of an omnipotent supernatural enitity outside of the physical universe somehow being able to comprehend and interact with the life in ours and even to have the desire to do so !","i believe you 've missed the point he 's not against evolution change of species over time into other species he in fact , from what i can gather , does indeed believe in evolution he 's arguing that it did n't come about through materialistic processes",evolution,1,0,0,0
5@5,"if only that were the case it 's pretty easy to 'shoot down' an anti , since they rarely have any kind of evidence to support their emotional claims that guns are bad i was engaged via private message on another forum by a user \( who regularly boasted of his recreational drug use \) who insisted guns were bad when challenged with stats from the british home office \( the person in question was a briton \) he replied something along the lines of 'well , i do n't care any more' which i considered odd , as it was he who initiated the debate given that , and other comments during our brief correspondence , i concluded that he could not reconcile the stats with his stance \( the fact that rape , homicide , violent assault and theft all increased while rates of firearm ownership decreased , and the police themselves were dis armed \) and simply refused to admit his position may have been poorly informed",http www homeoffice gov uk rds pdfs2 hosb703 pdf it does n't look like the uk has been doing too bad crime has actually been decreasing,gun control,0,1,0,0
6@1,why do you expect me to provide evidence when you never do \?,"then you freely admit that you lied when you said this , and i quote people like arch are setting it as opposed to science and in that position it will be doomed to fail and arch is doing nothing but distorting the very thing he holds so dear , i mean , how is accurately quoting passages from the bible distorting it in any way \? you do nothing but post drivel which makes no factual statements at all and you call that debating \?",evolution,1,0,0,0
6@4,the women of islam need to become feminists that 's all that 's needed,do you want them all dead \?,abortion,1,0,0,0
6@6,i know that the apostles witnessed god 's miracles,"montalban can you define for me the concept of 'knowledge' in the sense that you use it \? would n't 'believe' be a more accurate word to replace 'know' in the above statement \? otherwise , how is it that you can personally 'know' something that other intelligent and faithful christians recognize as belief not knowledge \?",evolution,0,1,0,0
7@2,"im against gay marriage and have been happily married for 31 years , thereby disproving your bs next ! ! ! do you think that being allowed to marry your favorite sheep would undermine the institution of marriage \? how about the ability to marry multiple partners \? or do you think that nothing is capable of undermining the institution of marriage \? just trying to gauge your level of sincerity and sanity",ahah ! the exception that proves the rule !,gay marriage,0,1,0,0
8@0,are you sure about that \? do you know who mai'ana is \?,"you 're right , i think he has made such comments sorry i think he 's wrong and went too far",gay marriage,1,0,0,0
8@2,"i did n't have to choose to be heterosexual it 's the natural inclination , unlike homosexuality",and i did n't have to choose to be homosexual it is a natural inclination i chose not to hide or lie about who i am however you are the one who seems to be under the delusion that being gay is a choice once again i ask you if it is just a choice then you choose to be gay this moment,gay marriage,0,1,0,0
8@4,i would have to say that whoever told you about 'macro evoution' from a science perspective obviously did not explain things properly it sounds like your 'science advice' was either misunderstood or the advice was 'stacked',actually what sank that debate was a bunch of paleontologists from k state who started arguing for punctuated equilibrium that was pretty much the end i remember one board member was quoted as saying these are public schools we are luck if we can teach the kids to read,evolution,1,1,1,1
9@1,"pro choicers claim they are for the rights of women if that is true why do n't pro choicer want the pregnant women who seek abortion to be informed i read yesterday , how the pro choice people are trying to block legislation that would help women make better choices about their pregnancy if i find the link , i 'll post it , but the legislation was anyone who seeks an abortion , must have access to a sonogram before the abortion that having an abortion may cause post abortion stress syndrome , which for some it does ! it 's sad , pro choicer , do n't want women to be informed to the best of their ability sonogram can be helpful tool to the woman in helping her make a better choice , and are n't pro choicers all about choice so why block this legislation \? \? \? \? \? \? \? \? \? i do n't understand why pro choicers have so much hate","first off , not all pro choice advocates support this position second , how does a sonogram help to make an informed choice \? what does a sonogram actually inform a pregnant woman about that she is pregnant \? i would think that if she was going to get a sonogram , that she would know that she is already pregnant seems like simple logic to me by saying it would help them make a better choice , do n't you really mean to say that it might influence them to not have an abortion , which is actually your choice for them \? you seem to be counting on the puppy store effect you can drive by the puppy store every day without giving a thought to buying a puppy but if you actually stop and look at one , you might just feel sorry for the pathetic little puppy couped up in the little cage , and decide to buy it just to rescue it from it 's plight it goes something like this awww look at the cute little puppy , we ca n't leave it here , we just have to take it home 4 months later , that same cute little puppy is sitting in an spca shelter waiting to either be adopted or destroyed all because it 's do gooder owner made the decision to buy it based on emotion rather than informed choice",abortion,0,1,0,0
9@2,mongoloid \? is this 1937 \?,i shuddered at same but did n't want to say anything lest i be dubbed pc,abortion,0,1,1,0
10@1,"washington , dc christopher bryan speight , the 39 year old man who allegedly shot and killed eight men and women yesterday in appomattox , virginia , is at least the 12th person licensed to carry a concealed handgun reported to have committed a mass shooting since may 2007 according to violence policy center \( vpc \) research",twelve out of literally millions that 's far too small a number to justify your position,gun control,1,0,0,0
10@2,sex is a norman part of a healthy relationship,"yes , but it also has consequences",abortion,1,0,1,0
10@4,your answers were without content or meaning there was no sarcasm,k,existence of God,0,1,1,0
10@6,"simple evolutionary science is science and creationism is not \? how does creationism even meet the science standards well it does not creationism assumes god , therefore it can not be a science science and faith based creationism are not the same fields of study for some religious people i know this is not a problem , but for the religious right it is",oh ye of little faith i pity you,evolution,1,0,0,0
11@2,the truth is out there,and amongst us,existence of God,0,1,1,0
11@3,"your question itself is a problem god is 'he who is' , not a 'what'","you 've avoided the question god does not fill the word who because to most accounts he is not a person , or being but for your sake i will restate the question who is god \? describe god to me what is that you believe in \?",existence of God,1,0,0,0
12@0,"your chance of committing sucide at 0 is completely false if you feel that way it is ok , but the scientific fact is your chance is 2 if your a white male",the situation has nothing to do with chance people do n't have to draw cards to figure out who is going to have to kill themselves,gun control,0,0,0,1
12@1,a criminal might also want to get a body off his gun too a barrel swap would be cheaper than dumping the gun in the river and buying a new one,"or just ship it to a frend where it is legal to sell it your self , a legal gun is more expensive than an illegal",gun control,1,0,1,0
12@5,"it is just incredible to me that so many people accept the basic premise that evolutionists put out there , which is that there is enough variation within a species that would genetically disallow a portion of the population to breed",nope not part of evolutionary theory it would be stupid to claim that increased genetic variability would disallow any portion of the population from breeding,evolution,0,1,0,0
12@6,hope you like this one i really think it 's funny http www workingforchange com comic cfm \? itemid 19521,"heh , half the science with twice the religion , nice",evolution,1,1,1,1
13@2,"what \? \? you mean their society did n't implode due to giving civil unions to all , under the weight of legal quagmire as some who have argued against this from the gay pride movement have asserted \? \? the sky did n't fall \? imagine that","the reality is that it 's the anti gay side who too often include pretenses of society imploding can you name me anybody who has asserted society imploding or weight of legal quagmire on the gay pride movement side \? once again , you run away with pointless strawman arguments",gay marriage,0,1,0,0
13@6,"keeping porn legal and accessible on the internet , keep taxes high , keep abortion legal keep people voting democrat send as many people to hell as possible","so you 're saying that the rationale behind this vast conspiracy being executed by people who allegedly do n't believe in hell is to send people to hell \? pretty self refuting , do n't you th er , no , you do n't think at all , do you \?",evolution,0,1,0,0
14@0,"you could even have \( 4 \) 4 geological evolution , explains how all the geological features came to be",yet another application of a different meaning of the word in an effort to group everything in science that you do n't understand and wo n't accept under one word,evolution,0,1,0,0
14@1,"evolutionists have screwed up in that they have always assumed that the gene is the fundamental unit of life ,",uh no they did n't have you ever actually taken a biology course \?,evolution,0,1,0,0
14@2,no one by the name of 'jesus' ever existed fact,actually quite a common name in south america but i know what you mean,existence of God,0,0,1,1
14@3,the reason abortion at any stage of a pregnancy is unethical is because you cannot justify killing a human life based on its stage of development abortion has its place in the need where the mothers health is endangered its completely understandable but its not understandable when its done out of convenience,how do you define convenience \?,abortion,0,1,0,0
14@4,they are constructs of man,"if the laws of logic are human constructs then how can they be absolute since humans think differently and often contradictorily if they are produced from human minds , and human minds are mutually contradictory , then how can the constructs be absolute \? therefore , the laws of logic are not human constructs",existence of God,0,1,0,0
15@0,did your thought process ever include the question what choice does the victim have \? does the instinct to survive exist in the helpless \? the being that is totally dependent on the being that brought about it 's existence becoming a victim of that being entrusted with it 's safe keeping,you mean like a tapeworm \? should removing tapeworms be illegal too \?,abortion,0,1,0,0
15@2,"thing is , truthsay , i was a wanted child , a desired child my parents planned for me they wanted me i was n't an accident i'm here because of their desire for me otherwise , i would n't be here","you know what you are right , any unwanted person should be killed lets start with nursing homes and then move on to mental health clinics after that , we should kill all the poor people because they do n't really help society that much oh ! and do n't forget the handicapped who would wanna live like that \? kill them it is merciful who cares what they want anyway , they do n't know what they are saying then we will have a wonderful society",abortion,1,0,0,0
15@3,"the genetic difference between human and his nearest relative , the chimpanzee , is at least 1 6 calculated out that is a gap of at least 48 million nucleotide differences that must be bridged by random changes",recent comparisons between the complete chimp genome and the human genome have found that possibly fewer than 3 million nucleotide differences exist in functional dna,evolution,1,1,0,1
15@4,"do n't quote yourself what did i just say \? nothing is ever proven , except in math but , yes , papers are published all the time with loads of evidence pointing to the fact that birds evolved from dinosaurs","not one that a solid case can be made for if it happened they would be numberless just as darwin said dr colin patterson , senior paleontologist of the british museum of natural history , in an interview on bbc television , said i mean the stories , the narratives about change over time how the dinosaurs became extinct , how the mammals evolved , where man came from these seem to me to be little more than story telling and this is the result about cladistics because as it turns out , as it seems to me , all one can learn about the history of life is learned from systematics , from groupings one finds in nature the rest of it is story telling of one sort or another we have access to the tips of a tree , the tree itself is a theory and people who pretend to know about the tree and to describe what went on with it , how the branches came off and the twigs came off are , i think , telling stories storrs olson , curator of birds at the national museum of natural history said the idea of feathered dinosaurs and the theropod origin of birds is being actively promulgated by a cadre of zealous scientists acting in concert with certain editors at nature and national geographic who themselves have become outspoken and highly biased proselytizers of the faith truth and careful scientific weighing of evidence have been among the first casualties in their program , which is now fast becoming one of the grander scientific hoaxes of our age the paleontological equivalent of cold fusion",evolution,1,0,0,0
15@6,how about you actually prove something for a change instead of expecting everybody else to do your work for you,stop trying to muddy the waters i asked you to back up your claim that gun control is racist that is not asking others to do my work for me that is asking you to back up a claim that you made,gun control,0,1,0,0
16@1,how many children have you adopted \?,go do a google search and find out how many babies have you supported killing \?,abortion,1,0,0,0
16@2,that can be proven,"no it ca n't scientific theories are n't proven you can observe the fact of gravity but you ca n't prove that the theory that explains it is correct in fact , the theory of gravitation is one of the least secure theories of modern science",evolution,1,1,0,1
16@4,"so , this magical program that is supposed to represent life actually can also produce aeroplanes ! i 'd like to see dna morph into such things !","you based this \( and other claims \) on a summary of the biomorphs program at website that either a \) did n't also provide dawkins limitations on the program or b \) had the limitations and you did n't bother to relay this information to the forum you then make incredulous statements about how unrealistic the biomorphs are any quotations of web pages are irrelevant because they do not address the basic issue that you are suggesting dawkins puts the biomorphs forth as a model of evolution and natural selection this is not true as i have quoted part of his book that puts limitations on the biomorphs program , and draws attention to what morals should be drawn out of the biomorphs",evolution,0,1,0,0
16@5,"i'm not surprised that no one on your side of the debate would correct you , but wolves and dogs are both members of the same species","dealt with wolves and dogs share a genus , not a species along with coyotes and jackels see above for lots of transitionals , also",evolution,0,1,0,0
16@6,"as for who plays 'word games' , it seems that you missed this 19 new peppered moth stuff he went on for some time trying to undermine my posts based on the use of a word which most people have a problem with there 's also the problem with darwin claiming a tautology was a better term than natural selection , this was debated for some time , even though i posted the actual words of darwin the thread unto the ages of ages developed into a debate over whether something could be both ''more accurate' and wrong , thanks ursus ! wja and slp argued over the word 'applied' , then 'published' whether dembski had , and then changed this to 'proved' \( see looking for intelligence thread \) lurch ungerdunn etc over what is a 'noun' multiple personalities aside , this debate over 'nouns' lasted for months he resorted to no better argument then 'you 're wrong' a great debating style ! as for debating styles waxy enters a debate on science math says that i 've been refuted somewhere else , by someone else , and then leaves does the same thing on these creation evolution debates only adds a few insults in the process not wishing to debate , just to name call mach is happy to admit he does n't read my posts skims over them but wants to both debate and not debate them claiming he 's got a time problem and asks me to post stuff he 's already replied to would you count as a word game the two incidents where you 've made a claim about me being insulting , and when i 've asked you to point it out , you ca n't \? one time you were so flustered you told me you were going to warn everyone about me you make allegations then do n't back them up archilochus makes allegations that i do n't understand the word 'chance' but is un prepared to come up with a definition , just repeats that i do n't understand it he 'll go on repeating this , because it is a replacement for debate all the while you guys are very shy when it comes to debating each other 's mistakes such as hank describing the world as egg shaped , etc in short you make so many 'just so' statements with little recourse to evidence , in an effort to drown out anyone who differs in opinion from yourself hence the total unwillingness to seriously tackle anyone from your own side who is either a \) wrong or b \) rude but in short , if someone posts here a statement , and they ca n't even be sure what they mean by it , then it does n't bode well that is what has upset a number of people when this has been pointed out this is also why many pro evolutionists are so quick to resort to ad hominem here that 's what this thread of yours is an attempt at and at best it is something that suggests only other people are guilty of this crime","no , i for one dislike your posts because i know you intentionally write irrational posts to help support your religious cause just for the record montalban , basically every single legitimate scientist is pro evolution creation theory is not taught in public schools , not by chance , but because gasp it 's religious mumbo jumbo there is no evidence to support it creation fiction has made no progress with it 's faith based \( lackofevidence \) with rational people and i 'll also say that i 'd welcome ad hominem over irrational thinking any day ad hominem is just a lack of patience , or someone who does n't care to hide their emotion or opinion irrational thinking on the other hand is often only cured by death someone guilty of ad hominem can still hold a rational debate the irrational well , why bother \? mach",evolution,0,1,0,0
17@1,"demon typical creationist big mouth , ca n't keep the facts straight , does n't understand evolution and totally incapable of intelligent debate",because you are a darwinist this predictible insult testifies to my rightness your approval compliments would of supported my wrongness ray m,evolution,1,1,0,1
17@2,if more gun control means more lives saved then more gun control means more self preservation,"but gun control does n't mean more lives saved so therefore , your entire statement is wrong your idea of gun control works only in an ideal world in your ideal world , everyone will give up their guns for the good of society in this world , we will go back and forget that guns ever existed outside of the military thus , there will be no shooting deaths because no one has possession of a gun however , your utopia cannot exist because of the human tendancy to seek power marx thought that if everyone became equal , there would be no problems , and everyone could live together in perfect harmony however , when everyone tried to live together , there was a group who tried to rise up and gain more power in the end , people began to realize that marx 's ideas would not work because there would be an elite few who would attempt to screw everyone else over gun control would produce the same results the people would be the law abiding citizens , and that elite few would be the criminals the criminals , realizing that the rest of the people have no guns , would then attain guns through illegal means they could then use their guns against the innocent law abiding citizens , who have given up their guns and now have no equal force to resist with it will become like prohibition with guns instead of alcohol",gun control,1,0,0,0
17@4,"of course , what the mind is capable of creating , it can then also heal as well , thank goodness ! that is the good part of teaching people that we each can guide our mind towards nobly humanitarian outcomes \( the baby ies slaughtered brutally painfully by abortion , had no say , and are left wondering what he she did wrong to deserve their loss of life \) the girl woman who agreed to end that life , then has the opportunity to forgive self amp love self in soul mind body , and then work to help other people via education you can understand how important this is , right \?",so can women can cure themselves \? is that what you mean \? or do you mean that once they forgive themselves they can move on to help other women do the same \? thanks in advance,abortion,0,1,0,0
17@6,"not much of anything else either , it would seem",translation i 've closed my brain off and i 've got not nothing,evolution,1,0,0,0
18@1,"which is why the medical establishment endorses smoking , drinking heavily and a fatty diet , with no excercise , because they believe we are predestined by our genes , right \? why do you persist with these blatant lies \?","hit that one right on the head , symbiote i 'd like to hear supersport 's response to this",evolution,1,1,1,1
18@2,"the question has been asked point blank several times it 's been ignored everytime this is a more public way of discussing it if they fail to post , it more or less means they are not willing to argue it if they post , then they open themselves up everytime marc and ss come to this forum they will see this thread waiting for them","you could put it in the form of a resolution , in the debate challanges forum",evolution,1,0,1,0
18@5,"if i am to believe in something even if it 's scientific , i should be able to challenge the belief 's of the person who 's pushing it if they do n't believe in what they 're selling , why should i","so why should you care about their non scientific beliefs in a debate on science \? most people who believe in evolution do so because of science , so their non scientific beliefs are irrelevant",evolution,0,1,0,0
19@0,this error becomes immediately evident if we amend thompson 's illustration what if the mother woke up from an accident to find herself surgically connected to her own child \? what kind of mother would willingly cut the life support system to her two year old in a situation like that \? and what would we think of her if she did \?,"irrelevant whatever kind of person or mother she is , the argument would apply",abortion,1,1,0,1
19@1,"18th century pennsylvania , which had its own rkba , passed a law which required citizens to take an oath of allegiance to the state or face being disarmed this was to protect the state against those who might be loyal to the british crown so why ca n't the us take similar measures to protect itself against terrorists \?","because there 's absolutely no due process in this proposal your name is on the list , your rights are revoked that 's not due process there 's no court of law , no trial , no verdict , no attorneys , no chance for the accused to defend themselves , etc we still have n't forgotten the homeland security memo that said veterans and those opposed to abortion could be potential terrorists",gun control,1,0,0,0
19@2,"galileo the supreme court has ruled that the second amendment has absolutely nothing to do with being part of any militia group , organized or otherwise , it 's not about serving any duty to the state or government","well if it has nothing to do with a militia that would mean that the preamble is merely unnecessary verbiage so you want people to just ignore the plain text of the second amendment at least the part you do n't like the preamble lets us know that the main focus if not the sole focus of this amendment is the militia david konig is another historian that has found both the individual rights interpretation and the collective interpretation unsatisfactory he says the second amendment protects an individual right that is exercised collectively indeed , to serve in the militia and participate in this civic duty was more than a duty it was a civic right of a peculiarly eighteenth century nature unlike either the 'individual' or 'collective' models argued for today on neither side of the atlantic , that is , did the debate concern itself with this right in the present day sense of an 'individual' or personal constitutional right but at the same time , its common emphasis on widespread individual arms bearing for public service distinguishes it from today 's narrowly applied 'collective' application to the national guard no individual right existed unrelated to service in a well regulated militia no effective militia could serve its purpose without an armed citizenry this type of right may appear paradoxical to us today , but it fitted 'the inner coherence of a given system of beliefs'4 held by people in the past , and which made sense to those familiar with the concept of an individual right exercised collectively david thomas konig the second amendment a missing transatlantic context for the historical meaning of the right of the people to keep and bear arms law and history review , 22 1 the history cooperative",gun control,0,1,0,0
19@4,occamsrazor another point to consider is populations without reproduction there are no replacements for dead individuals,also already covered in my thread starting post \( im not overlooking your further thoughts on this they follow \),evolution,1,1,1,1
19@6,destroying the theory of evolution which has no doubt had trillions of hours of intellectual thought devoted to it is one of my greatest pleasures it 's simply a pleasure making it look so ridiculous,"so you are more knowledgeable about biology than all of the biologists who have spent their lives studying the topic \? you have repeatedly demonstrated you ignorance and many of us have repeatedly instructed you in the fundamentals of biology and science , and yet you claim to know more than real scientists \?",evolution,0,1,0,0
20@0,would you consider abortion in the following four situations \?,and if i did then so what \? hiter 's mom and saddam 's mom both were given the option to abort their pregnancies by nurses and decided against it so i guess this makes pro lifers responsible for the holocaust and the slaughter of kurds \?,abortion,0,1,0,0
20@3,"so , i guess you did n't get the memo that this country was founded on christian judaic beliefs remember you do have rights to an extent",so you view is that their religious freedom is more important then mine \? that their families are more important then mine \?,gay marriage,0,1,0,0
20@4,that seems to be the fatal flaw in the study so the murder rate does n't suddenly decrease when you are 26 miles away from a gun show some people have said that gun shows increase murder in places as far away as mexico simply comparing homicides rates in areas very near gun shows to homicide rates in other areas does n't prove anything,you could have saved yourself some typing if you had of read the premise at all,gun control,1,0,0,0
21@0,this post was pure projection of the faults of creationists onto evolutionists evolution works out in science creationists do n't do science but engage in politics,"so you 're saying evolution never enters politics , and creationists never consider science \?",evolution,1,0,0,0
21@1,"i say more power to them these guys issued trash mortgages , put them in tranched securities that they sold as aaa , then took out cds paper on them \( betting against them \) even though they no longer owned them then they went to the government for a massive bailout when the paper they had not yet managed to dump screwed them , and the bailout is still going on via the feds ridiculously low rates today they are borrowing hundreds of billions of dollars from the fed at basically 0 and tossing it into treasuries at 3 25 do that big enough and you are talking real money and they are doing it big time i am sure it probably offends some of the truly stupid that there are now groups and individuals out there who do not feel that their responsibility ends at 5 00 on friday , and that they cant do these things without any kind of recourse outside the office bureaucracy is a wonderful thing it allows people to do horrible , immoral things without any personal responsibility , as long as the public is retarded enough to let them do it it appears there may be some americans who are not quite that retarded","sounds anti government to me are you against your president 's economic policies , the fed , bureacracy and tee poor public education \? sounds probably who seiu should have directed their gall toward and not a man 's personal property and family with the police help of course and purloined school busses do the taxpayers owe the seiu anything \? nope but the seiu according to cnn owes more than 90 million along with 4 million in interest perhaps if they paid their bills they would n't add to the public debt by using government property to protest government policy \? you wrote it but did n't understand what you wrote darn public schools",gun control,0,0,0,1
21@4,"funny how the truth so often tends to have an anti christian bias if you can find something untrue in the article , point it out and proffer your evidence otherwise i did n't think posters were required to balance their opinions here at least now we see what passes for moderation on this board \( that 's right , folks you ca n't put jps on your ignore lists , 'cuz he 's a moderator you know , like glen beck on fair and balanced fox news \)","what would you know about fair and balanced \? i know a lot of truths about gays do you want me to start posting incessant threads pointing them all out \? and i am the moderator for the formal debate forum , not the entire board want to debate me on the benefits of gays on society vs christianity \?",gay marriage,1,0,0,0
21@5,yet the types of mutations that are required for cumulative selection have never been observed,"what 's cumulative selection \? do you mean a series of mutations with small but beneficial influence that occur over the period of thousands or millions of years \? just how do you propose to observe such mutations \? in fact , we can observe such mutations by comparing the genomes of related species",evolution,0,1,0,0
22@2,butwhat of the fetus babies that were wanted by daddy but not by mummy what does termination stop then \?,the burden of a pregnancy is the woman 's it should be left up to her and her doctor to decide what is best for her,abortion,0,1,0,0
22@3,nothing at all you think open carrying of loaded handguns in public will become fashionable in ca \?,why not \? you said yourself kalifornia was a trend setter it is alread the law in many states,gun control,1,0,0,0
22@4,"this post contains a perfectly simple explanation of why toe is a sham along with a challenge to any darwinist to prove me wrong toe is constructed on a fraud premise this premise says that the fundamental unit of evolution is the gene whenever an evolutionist talks about evolution hes not talking about mere phenotypic change hes talking about changes in genes to a darwinist , just because an animal changes phentoypically , or even if he passes these changes down to progeny does not mean that evolution has occurred a fish could morph into a human , but if there are no changes in genes then this would not be considered evolution the only way evolution can happen , by their own definition , is if there is a change in genetics this premise , i suggest is a complete and total fraud and i will explain why now lets take humans and dogs , for example when compared side by side , sure enough , humans may have an assortment of genes that dogs do not and possibly the other way around but just because humans may have certain genes that dogs do n't , does not mean that these genes cause the difference between humans and dogs of course , there are no dog genes or human genes but likewise there are no tongue genes , tail genes or toenail genes parts are not translated genes thus , the assertion that new genes got created or that individual genes mutated over time to chnage one kind of animal into another is blatantly false and physically impossible but it 's worse than that as i said before , humans have a whole slew of genes theoretically , at least that dogs \( or other animals \) dont have but evolutionists still contend that these genetic differences cause the difference between the organisms ! thats why they analyze dna with such scrutiny ! but did it ever dawn on them that studying genetics is a compete waste of time because of the real possibility that each dog or each human has the genes they have because of what they are \? scientists have been telling us for decades that who or what we are is determined by what genes we have but theyve got it backwards ! instead , we have the genes we have because of who we are a dog is n't a dog because he barks a dog barks because of what he is same with genes this , of course , spells destructin to toe because it means genetic evolution is a fraud evolution , thus , should not be a theory based on changes in genes , but a theory based on changes in traits but scientists continue to mess around with genes and try to make the body do weird things by mutating them they simply wont give up because theyve seen correlations between gene activity and various physiological responses but heres where theyre screwing everything up when you were a kid did you ever stand on your head \? if so , did your face ever get red if you stayed upside down for a period of time \? if so , do you admit that it was the act of being upside down that caused the blood to rush to your head \? or , do you have the audacity to claim that you were upside down because your face was red \? thats excactly what science is doing with genetics theyve got the audacity to claim that changes in genes \( the red face \) is causing the organsim to change physiologically \( go upside down \) in reality , whats happening is the organism is experiencing a new environment \( turning upside down \) and then the genes are responding in kind \( turning red \) the only way you can prove this logic wrong is to do one of two things 1 \) show me conclusively that mutations happen completely randomly and unoriented to environmental pressures 2 \) show me that the same environmental pressures on genes will not produce the exact same physiological effects over and over and over so there it is go for it",so what this guy is saying is that he believes in natural selection but not evolution \?,evolution,0,1,0,0
