qrID,quoteText,responseText,topic,disagree_agree
2@6,"too bad that does n't automatically give you the excuse to support discredited beliefs and it gives you no protection when others tell you to shut up and change your argument to address the facts abortion was never in the constitution however the second amendment and gun ownership is , was , and always has been roe v wade was judicial activism , heller was just the courts doing their job after 30 long years of trying to avoid the subject the two cases are n't comparable in the least stop using them","in other words , you think a supreme court decision should only shut down the debate if it 's a decision you agree with roe v wade and heller do share some striking similarities for example , scalia stated in heller nothing in our opinion should be taken to cast doubt on long standing prohibitions on the possession of firearms by felons and the mentally ill , or laws forbidding the carrying of firearms in sensitive places such as schools and government buildings , or laws imposing conditions and qualifications on the commercial sale of arms however , the text of the constitution has as much to say about such restrictions as it does about abortion i 've heard that scalia has been criticized for making such a statement because there is no clear historical precedent dating back 200 years of banning felons from owning firearms so neither the text of the second amendment nor tradition justifies such restrictions it is an example of judicial lawmaking",gun control,0
3@0,"correctly viewed , evolution is not a series of unlikely events , but a series of highly likely ones it is highly likely , for instance , that some bacteria in a large colony would experience a mutation enabling the digestion of nylon sure breaking that event down on a per bacterium basis yields tiny probabilities , but why stop there \? why not break it down on a per bacterium , per microsecond basis \? the chances just got even smaller ! see \? it 's a silly way to think about it , because in the end it 's the chance of the event occurring that matters , not some arbitrary deadline by which it must occur or cell to which it must occur","well , that is not what your colleagues quoted herein seem to feel and that certainly is not what empirical evidence is bearing out evolution simply put , is the creation story for secular humanists and nothing more , which in and among itself if fine i do n't personally care if believe we evolved from mountain dew , but do n't try to pass that off as fact when there is substantial evidence that says otherwise i am sorry you have not made a convinving arguement here and i dare say save your breath , you never will",evolution,0
3@2,"and dont you get a kick out of sp calling herself a rational christian as she blasphemes god and attempts to disprove him in every post \? this is a person who does n't even know what the word hypocrite means , so she keeps that label under her user name","actually he does n't believe in a liar god like you , so really it 's you who 's the blasphemer and he 's a christian , you 're a biblist he actually follows christ , you just try to maintain the credibility of your god book",evolution,0
3@3,"well , i was n't an fortunate as you it took me a few years to see through the fairy tale of evolution and see that god was the only true creator however , that is a whole 'nother topic","um , yeah , you could say that \( wo n't argue left up to the evolution board \)",existence of God,1
3@4,"i love these kinds of arguments ! both sides are in denial and see the other as stupid only one of them can be right , or else hooray ! pass the popcorn !","i'm not in denial about anything and do n't think evo 's are stupid because they do n't agree with me obiviously , things do n't work both ways",evolution,0
3@5,"actually , i strongly disagree with gay marriage anyway it just is n't marriage it is hypocritical and just plain disugusting",because you say so \?,gay marriage,0
3@6,that gives me an idea why do n't we have a competition to come up with the best suggestion for a display or show at this theme park \? the winner gets to feel smug for being so clever,oh ! mememe ! i have an idea ! the museum staff hire \( or possibly abduct \) a few evolutionists and put them in stocks the visiting kids then come to the gallery to give mum and dad a break for an hour and get to ask the scientists questions about the origin of the earth and why fossils are different from things alive today each time an evolutionist gives an answer based on science they get pelted with the leftover veg from the dino pit lunchtime display this way the kids learn an important lesson in how to deal with scientists as well as being good for the environment by putting all that veg the dinos would n't eat to good use ! yay !,evolution,1
4@0,and i 'd think the explanation would be that oxygen content was much different before the flood,and yet the species that exist today are the exact same as the species during the high oxygen content \? that makes little sense it 's like saying the world was vastly different before yet perfectly suited for the species that exist today that is completely nonsensical where did all of the oxygen go \?,evolution,0
4@1,"then , there are various fossilization mechanisms i could n't find any good information about the rates of said mechanisms , so i thought this thread might start some good debate on the subject because of that now , how long did the fossilization take \? did it take 10 or 10 , 000 or 10 , 000 , 000 years \? are the fossils we see all the result of one big 'tragic' event for all , or little 'tragic' events for each \? any thoughts \?","well , google is your friend here try fossil and see what you get alternatively click the link in my sig and look in the archive section at talk origins it is not possible to break fossilisation down into such simple notions as one big preservation event and lots of little preservations if you can think of some examples of fossils then we can examine them more specifically as what can be said about the circumstances of their preservation i 've been a bit vague here as it is a \) such a broad subject to describe succinctly b \) i'm tired and c \) i'm full of cold no doubt someone who is n't under the influence of b \) and or c \) will chime in as well with more details while i pull round now , where was my hankerchief",evolution,1
4@2,"do you mean sexually molesting children \? again , i think that harms and forces something on someone","what if a 13 year old girl comes up to you and asks for sex , and you agree \? are you forcing yourself on to her \?",existence of God,0
4@3,"and the king of babylon smote them and put them to death at riblah , in the land of hamath thus judah was exiled from its land rather , a sceptre refers exclusively to rulership , not political independence , as seen in the following passage","you did n't bother to read the link , i see , which said during the 70 year babylonian captivity , from 606 537 b c , the southern kingdom of israel , judah , had lost it 's national sovereignty , but retained it 's tribal staff or national identity 2 it is very significant that in the book of ezra we read that during the 70 year babylonian captivity the jews still retained their own lawgivers or judges 3 the jews maintained their identity and judicial authority over their own people even during 70 years of slavery the scepter had not been lost during the babylonian captivity",existence of God,0
4@5,"where is the evidence for an american style culture of fear in india \? an op ed from a detroit based member of a rightwing thinktank shouting that they need guns , just does n't cut it",so are you saying that the people of india are n't upset about what happened and how the police chose to hide instead of engage the enemy and thus let hundreds of people be violently murdered \? are you saying that the people of india are n't seeking changes so they can arm themselves accordingly so if something like this happens again they 'll be better prepared to handle it \?,gun control,0
5@1,"okay , in defense of my school \( ku \) is n't creation \( intelligent design which i have to question that title since it has been mostly bush pushing for it \) a religion thing \? science is supposed to tell how something happens \( happened \) the creation story in the \( christian jewish islamic \) bible does not tell how it tells more of a why or what it was never intended to be about how god did anything i specify the creation story here \( which these three are the exact same beginning because they are the exact same god \) because when people say id , they are referring mostly to the creation in genesis all you get is a poetry reading almost of what happened \( and then god did such and such \) there is a difference between what happened and how it happened there is nothing scientific about it at all there is nothing wrong with teaching it in a religions class or some kind of social studies class","just to point out , the class that id is being taught in is a comparative religion class",evolution,1
5@2,"while indeed marriage was once a religious ceremony , it is fairly clear that ceremony has been taken away from the religion and added as an american tradition , so to speak i know of someone who once proposed that we get rid of marriage altogther and give everyone civil unions except for thos acknowledged by the church as feasible as that may be , marriage is too rooted in our american culture for that reason it is best to truly offer rights to everyone as our constitution so rightly protects",that was put nicely no argument here maybe marriage should be taken out and give everyone civil unions and if you wanted to be considered married it can be your religious ceremony,gay marriage,1
5@3,just wanted some peoples opinions,"i think it 's true why would someone make that up and pass it off as a real event \? i think the continents probably started separating some time after that , which is how god separated the people",evolution,1
5@4,"they believe that mechanistic evolution is just too improbable ah do they now you see , berkinski et al seem to have a limited comprehension as to what causes life to change in space and time where they see improbability i see inevitability life , in whatever form we care to discuss , is vying to survive against a whole battery of challenges some of those challenges confront it on a short term basis the need for food , suitable environmental conditions in which to survive and so on others may be an issue over a longer period of time the need to find a mate and reproduce , can it survive annual changes in local climates ultimately , life has to be able to adapt to the longest term changes like a major shift in underlying climatic conditions or local topography and so on we can consider a whole host of changes that confronts life at various times over different timescales what is clear from such consideration is the never ending need for life to able to adapt the earth is a dynamic and forever changing place \( even the very ground beneath you now is transient in nature \) and environments have changed dramatically over the course of this planets history if life were still and static it would never have come to be in the first place if it can not adapt to a new challenges quickly enough well just think of all the examples we have of life that is extinct so i really cannot see why berkinski and his peers find natural evolution , or whatever you care to call it improbable the driving forces are there to see if you are inclined to learn about them what i really find improbable is the notion of an omnipotent supernatural enitity outside of the physical universe somehow being able to comprehend and interact with the life in ours and even to have the desire to do so !","i believe you 've missed the point he 's not against evolution change of species over time into other species he in fact , from what i can gather , does indeed believe in evolution he 's arguing that it did n't come about through materialistic processes",evolution,0
5@5,"if only that were the case it 's pretty easy to 'shoot down' an anti , since they rarely have any kind of evidence to support their emotional claims that guns are bad i was engaged via private message on another forum by a user \( who regularly boasted of his recreational drug use \) who insisted guns were bad when challenged with stats from the british home office \( the person in question was a briton \) he replied something along the lines of 'well , i do n't care any more' which i considered odd , as it was he who initiated the debate given that , and other comments during our brief correspondence , i concluded that he could not reconcile the stats with his stance \( the fact that rape , homicide , violent assault and theft all increased while rates of firearm ownership decreased , and the police themselves were dis armed \) and simply refused to admit his position may have been poorly informed",http www homeoffice gov uk rds pdfs2 hosb703 pdf it does n't look like the uk has been doing too bad crime has actually been decreasing,gun control,0
6@1,why do you expect me to provide evidence when you never do \?,"then you freely admit that you lied when you said this , and i quote people like arch are setting it as opposed to science and in that position it will be doomed to fail and arch is doing nothing but distorting the very thing he holds so dear , i mean , how is accurately quoting passages from the bible distorting it in any way \? you do nothing but post drivel which makes no factual statements at all and you call that debating \?",evolution,0
6@4,the women of islam need to become feminists that 's all that 's needed,do you want them all dead \?,abortion,0
7@2,"im against gay marriage and have been happily married for 31 years , thereby disproving your bs next ! ! ! do you think that being allowed to marry your favorite sheep would undermine the institution of marriage \? how about the ability to marry multiple partners \? or do you think that nothing is capable of undermining the institution of marriage \? just trying to gauge your level of sincerity and sanity",ahah ! the exception that proves the rule !,gay marriage,0
7@4,and the only reason the criminals hold handguns is because of the ban,i presume that is a joke criminals have always had guns ban or not,gun control,0
8@2,"i did n't have to choose to be heterosexual it 's the natural inclination , unlike homosexuality",and i did n't have to choose to be homosexual it is a natural inclination i chose not to hide or lie about who i am however you are the one who seems to be under the delusion that being gay is a choice once again i ask you if it is just a choice then you choose to be gay this moment,gay marriage,0
8@3,"09dragonfly06 yes , how terrible it is to live in a country that gives a woman liberty over her own body if only we followed the example of saudi arabia !",what i find hard to believe is that politicos will place their decision above the health of a woman only for political expediency,abortion,1
8@4,i would have to say that whoever told you about 'macro evoution' from a science perspective obviously did not explain things properly it sounds like your 'science advice' was either misunderstood or the advice was 'stacked',actually what sank that debate was a bunch of paleontologists from k state who started arguing for punctuated equilibrium that was pretty much the end i remember one board member was quoted as saying these are public schools we are luck if we can teach the kids to read,evolution,1
8@6,what some courts have done is to say that such a definition violates some part of the constitution,"and if one accepts that gay citizens have equal rights under that constitution , then one has to accept that a ban on gay marriage is intrinsically unconstitutional",gay marriage,1
9@0,"first off , the scientific method goes 1 \) form hypothesis 2 \) test hypothesis 3 \) form conclusion \( or theory \) correct me if i wrote the scientific method wrong","you guys know me always happy to correct anyone as electrolyte pointed out , \( 1 \) the first step in the scientific method is the observation a scientist observes something that raises a question \( 2 \) then comes the hypothesis , that is an attempt to explain the observation the hypothesis can be an educated guess or even wild speculation based on previous knowledge or intuition , or it may be based in previous science and an understanding of scientific principles \( 3 \) one then makes a prediction that is a necessary consequence of the hypothesis that science is predictive is one of its salient characteristics in the case of the scientific method , the prediction is said to have the power to falsify the hypothesis in other words , if the prediction can be shown to be false , then the hypothesis must also be false if the prediction is true , then the hypothesis is supported so now we have the observation , the hypothesis that explains the observation , and a prediction that is a consequence of the hypothesis the next step \( 4 \) is to design an experiment to test the prediction , and then \( 5 \) to perform the test if the prediction fails the test , then it may be abandoned however , as electrolyte pointed out , the process may be circular , because if the prediction is falsified , additional observation from the test may be used to adjust the hypothesis at \( 2 \) , and a new prediction is made at \( 3 \) , and so on in creation science , the process stops at \( 2 \) , except that the hypothesis is based on dogma and scripture , not reality",evolution,1
9@2,mongoloid \? is this 1937 \?,i shuddered at same but did n't want to say anything lest i be dubbed pc,abortion,1
10@2,sex is a norman part of a healthy relationship,"yes , but it also has consequences",abortion,1
10@3,creationists are very open about the relationship between belief and science in the study of history,ha !,evolution,0
10@4,your answers were without content or meaning there was no sarcasm,k,existence of God,1
10@5,for instance the yucca plant has a moth that waits dormant for 80 to 150 years beside it to pollinate it on the one day it blooms in all that time how did that evolve \? or was it that did it \?,what are you talking about \? a dog ca n't have a cat that 's retarded,evolution,0
10@6,"simple evolutionary science is science and creationism is not \? how does creationism even meet the science standards well it does not creationism assumes god , therefore it can not be a science science and faith based creationism are not the same fields of study for some religious people i know this is not a problem , but for the religious right it is",oh ye of little faith i pity you,evolution,0
11@0,"hobbes specifically said that this is not the case cooperation exists , and is essential without it , the life of man would be a war of all against all , and would be solitary , nasty , brutish , and short but man is inherently , biologically social , at the level of the family and the tribe daniel boone , moving further into the wilderness whenever he could see the smoke from someone else 's cabin , or solitary hermits in the desert , are quite rare , and even they are dependent on the rest of society for sustenance solitary confinement is one of the worst punishments short of serious physical damage nor is a war of all against all true in evolution evolutionary theory includes the evolution of cooperation and altruism along with murder , hunting , and the like for example , the cooperation of the cells in your body to form organs that support each other , and the mechanism of apoptosis by which most pre cancerous cells and others that have suffered damage destroy themselves or the convergent evolution of numerous species of hive and nest insects \( and naked mole rats \) from solitary precursors or the cooperative evolution of eye and brain structures from light sensitive cells , or bird 's wings along with hollow bones , or symbiosis of all kinds , including intracellular organelles such as mitochondria coevolution of bees and flowers is another instance or crocodiles not eating the birds that clean their teeth","do n't tell me , tell the darwinists ! !",evolution,1
11@2,the truth is out there,and amongst us,existence of God,1
11@3,"your question itself is a problem god is 'he who is' , not a 'what'","you 've avoided the question god does not fill the word who because to most accounts he is not a person , or being but for your sake i will restate the question who is god \? describe god to me what is that you believe in \?",existence of God,0
12@0,"your chance of committing sucide at 0 is completely false if you feel that way it is ok , but the scientific fact is your chance is 2 if your a white male",the situation has nothing to do with chance people do n't have to draw cards to figure out who is going to have to kill themselves,gun control,0
12@1,a criminal might also want to get a body off his gun too a barrel swap would be cheaper than dumping the gun in the river and buying a new one,"or just ship it to a frend where it is legal to sell it your self , a legal gun is more expensive than an illegal",gun control,1
12@2,but this fello committed many more serious crimes by getting that kind of revenge,so what \? payback is a bit ai n't it,gun control,1
12@3,"to me , somehow , it smacks of self idolatrization , prideful in being next to god","what else would you expect from the people who created a god in their own image \? your thinking here is right , religion has a long history of being egocentric",existence of God,1
12@5,"it is just incredible to me that so many people accept the basic premise that evolutionists put out there , which is that there is enough variation within a species that would genetically disallow a portion of the population to breed",nope not part of evolutionary theory it would be stupid to claim that increased genetic variability would disallow any portion of the population from breeding,evolution,0
12@6,hope you like this one i really think it 's funny http www workingforchange com comic cfm \? itemid 19521,"heh , half the science with twice the religion , nice",evolution,1
13@3,"six pairs of these aortic arches loop over the pharynx in primitive fish , these arches persist and enable the gills to oxygenate the blood in adult birds and mammals , in which lungs oxygenate the blood , such a system makes little sense but all six pairs of aortic arches are formed in mammalian and avian embryos before the system eventually becomes simplified into a single aortic arch thus , even though our physiology does not require such a structure , our embryonic condition reflects our evolutionary history \( developmental biology seventh edition , scott f gilbert , sinauer associates inc , 2003 , p500 \)","another characteristic in this same general area that ties us back to fish is the development of our parathyroid glands which are very similar to gill buds in fish from a particular pharyngeal arch the same one that in fish gives rise to the gill buds ! moving on to the kidneys for a minute the human embryo forms not one , but 3 successive kidneys the pronephric , mesonephric , and metanephric kidneys only that last one persists and only it is the kidney you and i and all of our fellow humans use why do human embryos go through two transient and simpler kidneys before getting it right \? here 's a hint the other two are carry overs from simpler organisms ! the evolutionarily simplest vertebrates , such as hagfish and teleost fish , develop only the pronephric kidney it is their adult functional kidney now move up an evolutionary notch to \( other \) fish and amphibians in their embryos , the first kidney still develops , but soon begins to degenerate and is replaced by the mesonephric kidney , which is the functional adult kidney in these organisms now move up another evolutionary notch , to reptiles , birds , and mammals their embryos form the first kidney , which then degenerates and is replaced by the second kidney , which then degenerates and is replaced by the final , metanephric kidney their adult functional kidney the above is not anywhere near a complete list of embryological evidences for common descent evolution ps note the serial addition of developmental stages that occurs in kidneys as one moves up to higher evolutionary levels ontogeny recapitulates phylogeny of course this law does not hold for all organs organ systems in all organisms , but it does hold for a few cases and that 's enough to clearly indicate evolution of those organ systems by their being retained from ancestors and then modified during embryonic development",evolution,1
14@0,"you could even have \( 4 \) 4 geological evolution , explains how all the geological features came to be",yet another application of a different meaning of the word in an effort to group everything in science that you do n't understand and wo n't accept under one word,evolution,0
14@1,"evolutionists have screwed up in that they have always assumed that the gene is the fundamental unit of life ,",uh no they did n't have you ever actually taken a biology course \?,evolution,0
14@2,no one by the name of 'jesus' ever existed fact,actually quite a common name in south america but i know what you mean,existence of God,1
14@4,they are constructs of man,"if the laws of logic are human constructs then how can they be absolute since humans think differently and often contradictorily if they are produced from human minds , and human minds are mutually contradictory , then how can the constructs be absolute \? therefore , the laws of logic are not human constructs",existence of God,0
15@0,did your thought process ever include the question what choice does the victim have \? does the instinct to survive exist in the helpless \? the being that is totally dependent on the being that brought about it 's existence becoming a victim of that being entrusted with it 's safe keeping,you mean like a tapeworm \? should removing tapeworms be illegal too \?,abortion,0
15@1,", as for cyber he is not a catholic but an atheist so i have no idea what he will think of this atheist pro life is quite strange , but not unheard of",see \?,abortion,1
15@2,"thing is , truthsay , i was a wanted child , a desired child my parents planned for me they wanted me i was n't an accident i'm here because of their desire for me otherwise , i would n't be here","you know what you are right , any unwanted person should be killed lets start with nursing homes and then move on to mental health clinics after that , we should kill all the poor people because they do n't really help society that much oh ! and do n't forget the handicapped who would wanna live like that \? kill them it is merciful who cares what they want anyway , they do n't know what they are saying then we will have a wonderful society",abortion,0
15@3,"the genetic difference between human and his nearest relative , the chimpanzee , is at least 1 6 calculated out that is a gap of at least 48 million nucleotide differences that must be bridged by random changes",recent comparisons between the complete chimp genome and the human genome have found that possibly fewer than 3 million nucleotide differences exist in functional dna,evolution,0
15@4,"do n't quote yourself what did i just say \? nothing is ever proven , except in math but , yes , papers are published all the time with loads of evidence pointing to the fact that birds evolved from dinosaurs","not one that a solid case can be made for if it happened they would be numberless just as darwin said dr colin patterson , senior paleontologist of the british museum of natural history , in an interview on bbc television , said i mean the stories , the narratives about change over time how the dinosaurs became extinct , how the mammals evolved , where man came from these seem to me to be little more than story telling and this is the result about cladistics because as it turns out , as it seems to me , all one can learn about the history of life is learned from systematics , from groupings one finds in nature the rest of it is story telling of one sort or another we have access to the tips of a tree , the tree itself is a theory and people who pretend to know about the tree and to describe what went on with it , how the branches came off and the twigs came off are , i think , telling stories storrs olson , curator of birds at the national museum of natural history said the idea of feathered dinosaurs and the theropod origin of birds is being actively promulgated by a cadre of zealous scientists acting in concert with certain editors at nature and national geographic who themselves have become outspoken and highly biased proselytizers of the faith truth and careful scientific weighing of evidence have been among the first casualties in their program , which is now fast becoming one of the grander scientific hoaxes of our age the paleontological equivalent of cold fusion",evolution,0
15@5,"hi , i'm doing an research experiment for my isu project in sociology so , i did a survey and i hope you will fill it out it will only take about 5 minutes or so this survey is only towards young to older adults but all of you can do it if you want wink anyways , here 's the survey ! please fill it out ! are you male or female \? male , female how old are you \? 18 30 , 31 50 , 50 are you religious \? yes , no if yes , what type of religion are you \? do u favor abortion \? yes maybe no do you believe that a fetus in a women 's body is just undeveloped tissue or a start in where human life begins \? undeveloped tissue both human life do you believe that if a woman became pregnant because she was a product of incest , that she should have an abortion \? yes maybe or depends woman 's choice no do you believe that if a woman became pregnant because she was a product of rape , that she should have an abortion \? yes maybe or depends woman 's choice no if a woman 's life is threatened by the pregnancy of the baby , should she have an abortion \? yes maybe or depends woman 's choice no do you believe that having an abortion will take one 's life away \? yes maybe or depends no do you believe that a woman should be able to choose if she wants an abortion or should it be the government 's choice \? woman 's choice depends government 's choice the end ! thanks everybody",you 're very welcome,abortion,1
15@6,how about you actually prove something for a change instead of expecting everybody else to do your work for you,stop trying to muddy the waters i asked you to back up your claim that gun control is racist that is not asking others to do my work for me that is asking you to back up a claim that you made,gun control,0
16@0,"within the community of christian believers there are areas of dispute and disagreement , including the proper way to interpret holy scripture while virtually all christians take the bible seriously and hold it to be authoritative in matters of faith and practice , the overwhelming majority do not read the bible literally , as they would a science textbook many of the beloved stories found in the bible the creation , adam and eve , noah and the ark convey timeless truths about god , human beings , and the proper relationship between creator and creation expressed in the only form capable of transmitting these truths from generation to generation religious truth is of a different order from scientific truth its purpose is not to convey scientific information but to transform hearts we the undersigned , christian clergy from many different traditions , believe that the timeless truths of the bible and the discoveries of modern science may comfortably coexist we believe that the theory of evolution is a foundational scientific truth , one that has stood up to rigorous scrutiny and upon which much of human knowledge and achievement rests to reject this truth or to treat it as one theory among others is to deliberately embrace scientific ignorance and transmit such ignorance to our children we believe that among gods good gifts are human minds capable of critical thought and that the failure to fully employ this gift is a rejection of the will of our creator to argue that gods loving plan of salvation for humanity precludes the full employment of the god given faculty of reason is to attempt to limit god , an act of hubris we urge school board members to preserve the integrity of the science curriculum by affirming the teaching of the theory of evolution as a core component of human knowledge we ask that science remain science and that religion remain religion , two very different , but complementary , forms of truth","over 10 , 000 signatures of christian clergy have been collected , and have endorsed this letter",evolution,1
16@1,how many children have you adopted \?,go do a google search and find out how many babies have you supported killing \?,abortion,0
16@2,that can be proven,"no it ca n't scientific theories are n't proven you can observe the fact of gravity but you ca n't prove that the theory that explains it is correct in fact , the theory of gravitation is one of the least secure theories of modern science",evolution,0
16@3,the main business of pp is providing contraception and offering sex ed \?,"by number of people , absolutely take a look at the table http www plannedparenthood org lib 2services html service no of procedures reversible contraceptive clients women 2 , 208 , 483 emergency contraception clients 633 , 756 tubal sterilization clients 680 reversible contraceptive clients men 60 , 476 vasectomy clients 2 , 522 773 abortion procedures 227 , 375 hiv testing clients women 126 , 477 hiv testing clients men 48 , 991 prenatal clients 15 , 860 infertility clients 325 colposcopy procedures 31 , 248 cryotherapy procedures 3 , 913 loop leep procedures 1 , 781 midlife clients 10 , 575 pregnancy tests 1 , 081 , 772 breast exams breast care 1 , 062 , 727 primary care clients 24 , 483 sti procedures , women and men 1 , 255 , 036 other services women 58 , 626 other services men 17 , 905 totals 6 , 873 , 011 total unduplicated clients 2 , 744 , 554 or to shorten it down 227k abortions 5 , 426k birth control 175k std test 1 , 081k pregnancy test 15k ob checks 1 , 102k gynecological 1 , 356k other",abortion,1
16@4,"so , this magical program that is supposed to represent life actually can also produce aeroplanes ! i 'd like to see dna morph into such things !","you based this \( and other claims \) on a summary of the biomorphs program at website that either a \) did n't also provide dawkins limitations on the program or b \) had the limitations and you did n't bother to relay this information to the forum you then make incredulous statements about how unrealistic the biomorphs are any quotations of web pages are irrelevant because they do not address the basic issue that you are suggesting dawkins puts the biomorphs forth as a model of evolution and natural selection this is not true as i have quoted part of his book that puts limitations on the biomorphs program , and draws attention to what morals should be drawn out of the biomorphs",evolution,0
16@6,"as for who plays 'word games' , it seems that you missed this 19 new peppered moth stuff he went on for some time trying to undermine my posts based on the use of a word which most people have a problem with there 's also the problem with darwin claiming a tautology was a better term than natural selection , this was debated for some time , even though i posted the actual words of darwin the thread unto the ages of ages developed into a debate over whether something could be both ''more accurate' and wrong , thanks ursus ! wja and slp argued over the word 'applied' , then 'published' whether dembski had , and then changed this to 'proved' \( see looking for intelligence thread \) lurch ungerdunn etc over what is a 'noun' multiple personalities aside , this debate over 'nouns' lasted for months he resorted to no better argument then 'you 're wrong' a great debating style ! as for debating styles waxy enters a debate on science math says that i 've been refuted somewhere else , by someone else , and then leaves does the same thing on these creation evolution debates only adds a few insults in the process not wishing to debate , just to name call mach is happy to admit he does n't read my posts skims over them but wants to both debate and not debate them claiming he 's got a time problem and asks me to post stuff he 's already replied to would you count as a word game the two incidents where you 've made a claim about me being insulting , and when i 've asked you to point it out , you ca n't \? one time you were so flustered you told me you were going to warn everyone about me you make allegations then do n't back them up archilochus makes allegations that i do n't understand the word 'chance' but is un prepared to come up with a definition , just repeats that i do n't understand it he 'll go on repeating this , because it is a replacement for debate all the while you guys are very shy when it comes to debating each other 's mistakes such as hank describing the world as egg shaped , etc in short you make so many 'just so' statements with little recourse to evidence , in an effort to drown out anyone who differs in opinion from yourself hence the total unwillingness to seriously tackle anyone from your own side who is either a \) wrong or b \) rude but in short , if someone posts here a statement , and they ca n't even be sure what they mean by it , then it does n't bode well that is what has upset a number of people when this has been pointed out this is also why many pro evolutionists are so quick to resort to ad hominem here that 's what this thread of yours is an attempt at and at best it is something that suggests only other people are guilty of this crime","no , i for one dislike your posts because i know you intentionally write irrational posts to help support your religious cause just for the record montalban , basically every single legitimate scientist is pro evolution creation theory is not taught in public schools , not by chance , but because gasp it 's religious mumbo jumbo there is no evidence to support it creation fiction has made no progress with it 's faith based \( lackofevidence \) with rational people and i 'll also say that i 'd welcome ad hominem over irrational thinking any day ad hominem is just a lack of patience , or someone who does n't care to hide their emotion or opinion irrational thinking on the other hand is often only cured by death someone guilty of ad hominem can still hold a rational debate the irrational well , why bother \? mach",evolution,0
17@1,"demon typical creationist big mouth , ca n't keep the facts straight , does n't understand evolution and totally incapable of intelligent debate",because you are a darwinist this predictible insult testifies to my rightness your approval compliments would of supported my wrongness ray m,evolution,0
