qrID,quoteText,responseText,topic,emotion_fact
4@5,"where is the evidence for an american style culture of fear in india \? an op ed from a detroit based member of a rightwing thinktank shouting that they need guns , just does n't cut it",so are you saying that the people of india are n't upset about what happened and how the police chose to hide instead of engage the enemy and thus let hundreds of people be violently murdered \? are you saying that the people of india are n't seeking changes so they can arm themselves accordingly so if something like this happens again they 'll be better prepared to handle it \?,gun control,0
5@1,"okay , in defense of my school \( ku \) is n't creation \( intelligent design which i have to question that title since it has been mostly bush pushing for it \) a religion thing \? science is supposed to tell how something happens \( happened \) the creation story in the \( christian jewish islamic \) bible does not tell how it tells more of a why or what it was never intended to be about how god did anything i specify the creation story here \( which these three are the exact same beginning because they are the exact same god \) because when people say id , they are referring mostly to the creation in genesis all you get is a poetry reading almost of what happened \( and then god did such and such \) there is a difference between what happened and how it happened there is nothing scientific about it at all there is nothing wrong with teaching it in a religions class or some kind of social studies class","just to point out , the class that id is being taught in is a comparative religion class",evolution,1
5@3,just wanted some peoples opinions,"i think it 's true why would someone make that up and pass it off as a real event \? i think the continents probably started separating some time after that , which is how god separated the people",evolution,1
5@4,"they believe that mechanistic evolution is just too improbable ah do they now you see , berkinski et al seem to have a limited comprehension as to what causes life to change in space and time where they see improbability i see inevitability life , in whatever form we care to discuss , is vying to survive against a whole battery of challenges some of those challenges confront it on a short term basis the need for food , suitable environmental conditions in which to survive and so on others may be an issue over a longer period of time the need to find a mate and reproduce , can it survive annual changes in local climates ultimately , life has to be able to adapt to the longest term changes like a major shift in underlying climatic conditions or local topography and so on we can consider a whole host of changes that confronts life at various times over different timescales what is clear from such consideration is the never ending need for life to able to adapt the earth is a dynamic and forever changing place \( even the very ground beneath you now is transient in nature \) and environments have changed dramatically over the course of this planets history if life were still and static it would never have come to be in the first place if it can not adapt to a new challenges quickly enough well just think of all the examples we have of life that is extinct so i really cannot see why berkinski and his peers find natural evolution , or whatever you care to call it improbable the driving forces are there to see if you are inclined to learn about them what i really find improbable is the notion of an omnipotent supernatural enitity outside of the physical universe somehow being able to comprehend and interact with the life in ours and even to have the desire to do so !","i believe you 've missed the point he 's not against evolution change of species over time into other species he in fact , from what i can gather , does indeed believe in evolution he 's arguing that it did n't come about through materialistic processes",evolution,1
5@5,"if only that were the case it 's pretty easy to 'shoot down' an anti , since they rarely have any kind of evidence to support their emotional claims that guns are bad i was engaged via private message on another forum by a user \( who regularly boasted of his recreational drug use \) who insisted guns were bad when challenged with stats from the british home office \( the person in question was a briton \) he replied something along the lines of 'well , i do n't care any more' which i considered odd , as it was he who initiated the debate given that , and other comments during our brief correspondence , i concluded that he could not reconcile the stats with his stance \( the fact that rape , homicide , violent assault and theft all increased while rates of firearm ownership decreased , and the police themselves were dis armed \) and simply refused to admit his position may have been poorly informed",http www homeoffice gov uk rds pdfs2 hosb703 pdf it does n't look like the uk has been doing too bad crime has actually been decreasing,gun control,1
5@6,"here 's the relevant point of exposing how evolutionists dealt with defining the coelacanth before evolutionists knew that living examples of this fish existed , they never even hesitated in taking the observable physical features it exhibited and thought nothing of creating a completely inaccurate and totally fictional biography of that fish 's evolutionary journey they not only claimed that it crawled on the sea bottom which proved it was an intermediary fish , but they made assumptions based on the fact that it birthed its young live rather than being an egg layer","what is your evidence they did n't do this \? remember , today 's coelacanth is different",evolution,1
6@1,why do you expect me to provide evidence when you never do \?,"then you freely admit that you lied when you said this , and i quote people like arch are setting it as opposed to science and in that position it will be doomed to fail and arch is doing nothing but distorting the very thing he holds so dear , i mean , how is accurately quoting passages from the bible distorting it in any way \? you do nothing but post drivel which makes no factual statements at all and you call that debating \?",evolution,1
6@2,why \? what has caused you to believe such things \?,"wow , i never thought a qoute would be so stupid as to compare it to a house fine then what if i compare your head to a house that is housing ur brain but it would be perfectly legal to rip it out and steamroll it on the street for allto see \( by ur rules of course this would be a perfectly acceptable thing to do \)",abortion,0
6@3,so taking peoples rights away is an american value \? i think i will push for legislation to make cancer surgery illegal after all cancer cells are human life too and with modern medical tech they could become a human being also,"in a way , taking rights away is an american value since we have prescribed methods for doing it for instance , we have legislatures which posess authority to remove a large number of what you likely consider to be rights here are just a small number that come to mind 1 \) right to murder 2 \) right to own slaves 3 \) right to rape 4 \) right to abusing children 5 \) right to vote 6 \) right to smoke \( if you 're under 18 \) 7 \) right to drink \( 18th amendment \) 8 \) right to engage in certain activities in public 9 \) right to drive as fast as one wants 10 \) right to dump dangerous chemicals in the nearest river the list goes on really the fact is that you do n't object to taking rights away in principle , you only object to taking away those rights that you wish to retain that is quite inconsistent where do you get the idea that one has a right to perform an abortion anyway \?",abortion,1
6@4,the women of islam need to become feminists that 's all that 's needed,do you want them all dead \?,abortion,0
6@5,"the coelacanth , according to fossil records , and according to evolutionists , allegedly went extinct millions and millions of years ago until they were found alive left an abundant fossil record from the devonian to the end of the cretaceous period , at which point they apparently suffered a nearly complete extinction coelacanth wikipedia , the free encyclopedia as if this should be any surprise the theory of evolution mindset once again contradicts observable science","there is just one thing however the coelacanths found are different from those in the fossil record further , all evidence pointed to them being extinct , until we found other evidence , and we changed it and , to top it off , the article says nearly extinct , not completely although , this article was of course written after the coelocanths were re discovered of course , this has absolutely nothing to do with the theory of evolution , which explains the mechanisms responsible for the change of allele frequencies in populations over time",evolution,1
8@0,are you sure about that \? do you know who mai'ana is \?,"you 're right , i think he has made such comments sorry i think he 's wrong and went too far",gay marriage,0
8@1,"the ira comes to mind or was n't i supposed to mention that \? besides , i know a bit about this the filipinos are very live and let live kind of people these are muslim extremest who do n't cotton very much to the christian government the filipinos usually just leave them alone from time to time they reek havoc personally i would just nape the area and be done with them , but hey , that is just me !",just so you do n't shoot them !,gun control,0
8@2,"i did n't have to choose to be heterosexual it 's the natural inclination , unlike homosexuality",and i did n't have to choose to be homosexual it is a natural inclination i chose not to hide or lie about who i am however you are the one who seems to be under the delusion that being gay is a choice once again i ask you if it is just a choice then you choose to be gay this moment,gay marriage,0
9@0,"first off , the scientific method goes 1 \) form hypothesis 2 \) test hypothesis 3 \) form conclusion \( or theory \) correct me if i wrote the scientific method wrong","you guys know me always happy to correct anyone as electrolyte pointed out , \( 1 \) the first step in the scientific method is the observation a scientist observes something that raises a question \( 2 \) then comes the hypothesis , that is an attempt to explain the observation the hypothesis can be an educated guess or even wild speculation based on previous knowledge or intuition , or it may be based in previous science and an understanding of scientific principles \( 3 \) one then makes a prediction that is a necessary consequence of the hypothesis that science is predictive is one of its salient characteristics in the case of the scientific method , the prediction is said to have the power to falsify the hypothesis in other words , if the prediction can be shown to be false , then the hypothesis must also be false if the prediction is true , then the hypothesis is supported so now we have the observation , the hypothesis that explains the observation , and a prediction that is a consequence of the hypothesis the next step \( 4 \) is to design an experiment to test the prediction , and then \( 5 \) to perform the test if the prediction fails the test , then it may be abandoned however , as electrolyte pointed out , the process may be circular , because if the prediction is falsified , additional observation from the test may be used to adjust the hypothesis at \( 2 \) , and a new prediction is made at \( 3 \) , and so on in creation science , the process stops at \( 2 \) , except that the hypothesis is based on dogma and scripture , not reality",evolution,1
9@1,"pro choicers claim they are for the rights of women if that is true why do n't pro choicer want the pregnant women who seek abortion to be informed i read yesterday , how the pro choice people are trying to block legislation that would help women make better choices about their pregnancy if i find the link , i 'll post it , but the legislation was anyone who seeks an abortion , must have access to a sonogram before the abortion that having an abortion may cause post abortion stress syndrome , which for some it does ! it 's sad , pro choicer , do n't want women to be informed to the best of their ability sonogram can be helpful tool to the woman in helping her make a better choice , and are n't pro choicers all about choice so why block this legislation \? \? \? \? \? \? \? \? \? i do n't understand why pro choicers have so much hate","first off , not all pro choice advocates support this position second , how does a sonogram help to make an informed choice \? what does a sonogram actually inform a pregnant woman about that she is pregnant \? i would think that if she was going to get a sonogram , that she would know that she is already pregnant seems like simple logic to me by saying it would help them make a better choice , do n't you really mean to say that it might influence them to not have an abortion , which is actually your choice for them \? you seem to be counting on the puppy store effect you can drive by the puppy store every day without giving a thought to buying a puppy but if you actually stop and look at one , you might just feel sorry for the pathetic little puppy couped up in the little cage , and decide to buy it just to rescue it from it 's plight it goes something like this awww look at the cute little puppy , we ca n't leave it here , we just have to take it home 4 months later , that same cute little puppy is sitting in an spca shelter waiting to either be adopted or destroyed all because it 's do gooder owner made the decision to buy it based on emotion rather than informed choice",abortion,1
9@4,"biology is centered around the theory of evolution without it , biology is hardly biology",so biology did n't exist before the theory of evolution was formulated \?,evolution,1
10@3,creationists are very open about the relationship between belief and science in the study of history,ha !,evolution,0
10@6,"simple evolutionary science is science and creationism is not \? how does creationism even meet the science standards well it does not creationism assumes god , therefore it can not be a science science and faith based creationism are not the same fields of study for some religious people i know this is not a problem , but for the religious right it is",oh ye of little faith i pity you,evolution,0
11@0,"hobbes specifically said that this is not the case cooperation exists , and is essential without it , the life of man would be a war of all against all , and would be solitary , nasty , brutish , and short but man is inherently , biologically social , at the level of the family and the tribe daniel boone , moving further into the wilderness whenever he could see the smoke from someone else 's cabin , or solitary hermits in the desert , are quite rare , and even they are dependent on the rest of society for sustenance solitary confinement is one of the worst punishments short of serious physical damage nor is a war of all against all true in evolution evolutionary theory includes the evolution of cooperation and altruism along with murder , hunting , and the like for example , the cooperation of the cells in your body to form organs that support each other , and the mechanism of apoptosis by which most pre cancerous cells and others that have suffered damage destroy themselves or the convergent evolution of numerous species of hive and nest insects \( and naked mole rats \) from solitary precursors or the cooperative evolution of eye and brain structures from light sensitive cells , or bird 's wings along with hollow bones , or symbiosis of all kinds , including intracellular organelles such as mitochondria coevolution of bees and flowers is another instance or crocodiles not eating the birds that clean their teeth","do n't tell me , tell the darwinists ! !",evolution,0
11@3,"your question itself is a problem god is 'he who is' , not a 'what'","you 've avoided the question god does not fill the word who because to most accounts he is not a person , or being but for your sake i will restate the question who is god \? describe god to me what is that you believe in \?",existence of God,0
11@5,"gay marriage is outlawed in texas and many other states it 's not a right around these parts , and never will be","actually , gay marriages will probably be recognized everywhere in the us within a decade or so they may not be performed everywhere , but they will be recognized",gay marriage,0
12@0,"your chance of committing sucide at 0 is completely false if you feel that way it is ok , but the scientific fact is your chance is 2 if your a white male",the situation has nothing to do with chance people do n't have to draw cards to figure out who is going to have to kill themselves,gun control,1
12@1,a criminal might also want to get a body off his gun too a barrel swap would be cheaper than dumping the gun in the river and buying a new one,"or just ship it to a frend where it is legal to sell it your self , a legal gun is more expensive than an illegal",gun control,1
12@4,recommendation one conduct criminal enforcement at gun shows without a specific target,"so bloomberg is suggesting that the atf should seek to prosecute anyone and everyone , evidence or not this is n't how law enforcement works this is n't how the constitution works you ca n't be prosecuted for a crime that you did n't commit , and for which there is no evidence to link you to it but that 's not good enough for bloomberg , oh no bloomberg wants to atf to view anyone attending a gun show as absolutely guilty , and subject to arrest , detainment and prosecution without evidence or witnesses , thus violating a person 's sixth amendment rights and as i said before bloomberg makes absolutely no recommendation for what to do with these 35 , supposedly , criminals sellers he did n't want them charged with felonies , he did n't file civil suits against them , he did n't do anything he just got the evidence he wanted and then he let them go scot free as if they 'd done nothing obviously new york city style catch and release justice at its absolute finest also note how the report refers to the sks as assault rifles there 's not a single feature on the sks that would qualify it as either as assault rifle or an assault weapon",gun control,1
12@5,"it is just incredible to me that so many people accept the basic premise that evolutionists put out there , which is that there is enough variation within a species that would genetically disallow a portion of the population to breed",nope not part of evolutionary theory it would be stupid to claim that increased genetic variability would disallow any portion of the population from breeding,evolution,1
13@0,"what was the difference , in climate terms , between 1400ad and 1600ad \?","are you an acolyte of mcintyre and mckitrick , perchance \?",climate change,0
13@1,"furthermore , if mexico is making an earnest attempt to smash the cartels and we 're financing it in part , would n't we want to help reduce the weapons traffic flowing south into the cartel 's arsenals \?","if ! but here 's the thing , mexico is making absolutely no attempt to truly stomp out the drug cartels , they 're catering to them ! various political figures and police officers are on the take , they 're getting massive amounts of bribe money from the cartels , stopping them would prove detrimental",gun control,1
13@3,"six pairs of these aortic arches loop over the pharynx in primitive fish , these arches persist and enable the gills to oxygenate the blood in adult birds and mammals , in which lungs oxygenate the blood , such a system makes little sense but all six pairs of aortic arches are formed in mammalian and avian embryos before the system eventually becomes simplified into a single aortic arch thus , even though our physiology does not require such a structure , our embryonic condition reflects our evolutionary history \( developmental biology seventh edition , scott f gilbert , sinauer associates inc , 2003 , p500 \)","another characteristic in this same general area that ties us back to fish is the development of our parathyroid glands which are very similar to gill buds in fish from a particular pharyngeal arch the same one that in fish gives rise to the gill buds ! moving on to the kidneys for a minute the human embryo forms not one , but 3 successive kidneys the pronephric , mesonephric , and metanephric kidneys only that last one persists and only it is the kidney you and i and all of our fellow humans use why do human embryos go through two transient and simpler kidneys before getting it right \? here 's a hint the other two are carry overs from simpler organisms ! the evolutionarily simplest vertebrates , such as hagfish and teleost fish , develop only the pronephric kidney it is their adult functional kidney now move up an evolutionary notch to \( other \) fish and amphibians in their embryos , the first kidney still develops , but soon begins to degenerate and is replaced by the mesonephric kidney , which is the functional adult kidney in these organisms now move up another evolutionary notch , to reptiles , birds , and mammals their embryos form the first kidney , which then degenerates and is replaced by the second kidney , which then degenerates and is replaced by the final , metanephric kidney their adult functional kidney the above is not anywhere near a complete list of embryological evidences for common descent evolution ps note the serial addition of developmental stages that occurs in kidneys as one moves up to higher evolutionary levels ontogeny recapitulates phylogeny of course this law does not hold for all organs organ systems in all organisms , but it does hold for a few cases and that 's enough to clearly indicate evolution of those organ systems by their being retained from ancestors and then modified during embryonic development",evolution,1
13@5,has anyone ever observed one animal change into another animal \?,"yes for example , the hawthorn maggot fly was observed to change into the apple maggot fly in only a few years i also gave the example of the herring gull lesser black backed gull that exists as a single , continuous population the circles the globe in which the extremes have become seperate species of course , what you are asking is if it has ever been observed that a frog turned into a lion but that is n't evolution in fact , a saltation \( that is the word for that silly idea \) would disprove the current theory of evolution organisms change only a little from generation to generation generally , evolution is a slow process since it happens in populations , not individuals evolution is a change in the genetic makeup of the entire population of over generations",evolution,1
14@2,no one by the name of 'jesus' ever existed fact,actually quite a common name in south america but i know what you mean,existence of God,1
14@3,the reason abortion at any stage of a pregnancy is unethical is because you cannot justify killing a human life based on its stage of development abortion has its place in the need where the mothers health is endangered its completely understandable but its not understandable when its done out of convenience,how do you define convenience \?,abortion,0
14@4,they are constructs of man,"if the laws of logic are human constructs then how can they be absolute since humans think differently and often contradictorily if they are produced from human minds , and human minds are mutually contradictory , then how can the constructs be absolute \? therefore , the laws of logic are not human constructs",existence of God,1
14@6,"i guess the question should be , why does the pharmacist think he knows what 's better for the patient than the doctor does \?",in all fairness the pharmacist does serve an important vetting role in the supply of medication to patients they check what has been prescribed by the doctor against they know about and correct errors that are made \( which do happen i was once given a 7 week course of anti malarials which turned out to be suitable for taking no more than 28 days at a time \) that aside i 'd agree with sinjin,abortion,1
15@0,did your thought process ever include the question what choice does the victim have \? does the instinct to survive exist in the helpless \? the being that is totally dependent on the being that brought about it 's existence becoming a victim of that being entrusted with it 's safe keeping,you mean like a tapeworm \? should removing tapeworms be illegal too \?,abortion,0
15@2,"thing is , truthsay , i was a wanted child , a desired child my parents planned for me they wanted me i was n't an accident i'm here because of their desire for me otherwise , i would n't be here","you know what you are right , any unwanted person should be killed lets start with nursing homes and then move on to mental health clinics after that , we should kill all the poor people because they do n't really help society that much oh ! and do n't forget the handicapped who would wanna live like that \? kill them it is merciful who cares what they want anyway , they do n't know what they are saying then we will have a wonderful society",abortion,0
15@3,"the genetic difference between human and his nearest relative , the chimpanzee , is at least 1 6 calculated out that is a gap of at least 48 million nucleotide differences that must be bridged by random changes",recent comparisons between the complete chimp genome and the human genome have found that possibly fewer than 3 million nucleotide differences exist in functional dna,evolution,1
15@4,"do n't quote yourself what did i just say \? nothing is ever proven , except in math but , yes , papers are published all the time with loads of evidence pointing to the fact that birds evolved from dinosaurs","not one that a solid case can be made for if it happened they would be numberless just as darwin said dr colin patterson , senior paleontologist of the british museum of natural history , in an interview on bbc television , said i mean the stories , the narratives about change over time how the dinosaurs became extinct , how the mammals evolved , where man came from these seem to me to be little more than story telling and this is the result about cladistics because as it turns out , as it seems to me , all one can learn about the history of life is learned from systematics , from groupings one finds in nature the rest of it is story telling of one sort or another we have access to the tips of a tree , the tree itself is a theory and people who pretend to know about the tree and to describe what went on with it , how the branches came off and the twigs came off are , i think , telling stories storrs olson , curator of birds at the national museum of natural history said the idea of feathered dinosaurs and the theropod origin of birds is being actively promulgated by a cadre of zealous scientists acting in concert with certain editors at nature and national geographic who themselves have become outspoken and highly biased proselytizers of the faith truth and careful scientific weighing of evidence have been among the first casualties in their program , which is now fast becoming one of the grander scientific hoaxes of our age the paleontological equivalent of cold fusion",evolution,1
15@6,how about you actually prove something for a change instead of expecting everybody else to do your work for you,stop trying to muddy the waters i asked you to back up your claim that gun control is racist that is not asking others to do my work for me that is asking you to back up a claim that you made,gun control,0
16@0,"within the community of christian believers there are areas of dispute and disagreement , including the proper way to interpret holy scripture while virtually all christians take the bible seriously and hold it to be authoritative in matters of faith and practice , the overwhelming majority do not read the bible literally , as they would a science textbook many of the beloved stories found in the bible the creation , adam and eve , noah and the ark convey timeless truths about god , human beings , and the proper relationship between creator and creation expressed in the only form capable of transmitting these truths from generation to generation religious truth is of a different order from scientific truth its purpose is not to convey scientific information but to transform hearts we the undersigned , christian clergy from many different traditions , believe that the timeless truths of the bible and the discoveries of modern science may comfortably coexist we believe that the theory of evolution is a foundational scientific truth , one that has stood up to rigorous scrutiny and upon which much of human knowledge and achievement rests to reject this truth or to treat it as one theory among others is to deliberately embrace scientific ignorance and transmit such ignorance to our children we believe that among gods good gifts are human minds capable of critical thought and that the failure to fully employ this gift is a rejection of the will of our creator to argue that gods loving plan of salvation for humanity precludes the full employment of the god given faculty of reason is to attempt to limit god , an act of hubris we urge school board members to preserve the integrity of the science curriculum by affirming the teaching of the theory of evolution as a core component of human knowledge we ask that science remain science and that religion remain religion , two very different , but complementary , forms of truth","over 10 , 000 signatures of christian clergy have been collected , and have endorsed this letter",evolution,0
16@1,how many children have you adopted \?,go do a google search and find out how many babies have you supported killing \?,abortion,0
16@2,that can be proven,"no it ca n't scientific theories are n't proven you can observe the fact of gravity but you ca n't prove that the theory that explains it is correct in fact , the theory of gravitation is one of the least secure theories of modern science",evolution,1
16@3,the main business of pp is providing contraception and offering sex ed \?,"by number of people , absolutely take a look at the table http www plannedparenthood org lib 2services html service no of procedures reversible contraceptive clients women 2 , 208 , 483 emergency contraception clients 633 , 756 tubal sterilization clients 680 reversible contraceptive clients men 60 , 476 vasectomy clients 2 , 522 773 abortion procedures 227 , 375 hiv testing clients women 126 , 477 hiv testing clients men 48 , 991 prenatal clients 15 , 860 infertility clients 325 colposcopy procedures 31 , 248 cryotherapy procedures 3 , 913 loop leep procedures 1 , 781 midlife clients 10 , 575 pregnancy tests 1 , 081 , 772 breast exams breast care 1 , 062 , 727 primary care clients 24 , 483 sti procedures , women and men 1 , 255 , 036 other services women 58 , 626 other services men 17 , 905 totals 6 , 873 , 011 total unduplicated clients 2 , 744 , 554 or to shorten it down 227k abortions 5 , 426k birth control 175k std test 1 , 081k pregnancy test 15k ob checks 1 , 102k gynecological 1 , 356k other",abortion,1
